trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9981094709838179}",20,0,-33.83600040308182,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9980161562865429}",20,0,-61.91489960161372,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9979205960533374}",20,0,-128.62983855262536,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9978227904992117}",20,0,-45.62172818317025,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9977227398442284}",20,13,6.4808927912570775,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.9976204443135014}",25,0,-86.95610896860072,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9975159041371955}",20,0,-114.10158356745694,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.9974091195505261}",25,0,-76.5090578657122,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9973000907937586}",25,0,-216.6263357167471,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
51,False,"{'a': 0.5, 'e': 0.9971888181122075}",30,0,-231.62592638310988,"{0: 15, 1: 2, 2: 8, 3: 2, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.9970753017562363}",20,0,-171.82666737641753,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9969595419812568}",20,0,-193.01160460617436,"{0: 7, 1: 5, 2: 4, 3: 1, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.9968415390477284}",25,0,-85.75229290653189,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
